Monthly Climate Data Summaries ( por - por )

Station:,SPOKANE INTL AP,State:,WA,ID:,24157
Latitude:,47.62167 degreeN,Longitude:,117.52806 degreeW,Elevation:,2358.0 feet
Station period of record:,maxt: 02/01/1881-10/23/2019; mint: 02/01/1881-10/23/2019; avgt: 02/01/1881-10/23/2019; hdd: 02/01/1881-10/23/2019; cdd: 02/01/1881-10/23/2019; pcpn: 02/01/1881-10/23/2019

Year,Month,maxt,mint,avgt,HI,HI Dt,LO,LO Dt,max msg,maxt >=90,maxt <=32,min msg,mint >=75,mint <=32,mint <=0,HDD,CDD,Mly Prec,1d Max,1d Max Dt,Rain Days,>=0.1,>=0.5,>=1.0,PCPN msg
1902,SEP,72.0,44.1,58.1,89,03,32,28,0,0,0,0,1,0,0,212,12,0.57,28,1902-09-27,4,2,0,0,0
1902,OCT,62.7,39.9,51.3,76,06,31,29,0,0,0,0,1,0,0,418,0,0.19,17,1902-10-22,2,1,0,0,0
1902,NOV,41.8,31.9,36.8,50,01,20,29,0,0,3,0,12,0,0,839,0,4.12,41,1902-11-08,18,10,3,1,0
1902,DEC,35.0,26.8,30.9,46,26,18,16,0,0,10,0,26,0,0,1049,0,2.31,40,1902-12-31,16,8,0,0,0
1902,ANNUAL,57.5,38.5,47.98,94,,-12,,0,8,29,0,102,0,6,6376,259,19.23,,1.41,127,60,8,1,0

Year,Month,maxt,mint,avgt,HI,HI Dt,LO,LO Dt,max msg,maxt >=90,maxt <=32,min msg,mint >=75,mint <=32,mint <=0,HDD,CDD,Mly Prec,1d Max,1d Max Dt,Rain Days,>=0.1,>=0.5,>=1.0,PCPN msg
1903,JAN,36.5,27.7,32.1,48,24,15,28,0,0,10,0,23,0,0,1010,0,2.23,55,1903-01-02,17,7,1,0,0
1903,FEB,36.8,18.6,27.7,52,23,4,13,0,0,8,0,28,0,0,1037,0,0.23,13,1903-02-08,4,1,0,0,0
1903,MAR,47.5,30.5,39.0,66,24,18,05,0,0,1,0,21,0,0,797,0,1.22,34,1903-03-28,11,4,0,0,0
1903,APR,55.4,34.3,44.8,76,25,26,11,0,0,0,0,10,0,0,597,0,0.40,22,1903-04-26,6,2,0,0,0
1903,MAY,66.1,42.3,54.2,94,31,33,01,0,1,0,0,0,0,0,347,19,1.34,49,1903-05-18,11,4,0,0,0
1903,JUN,78.4,54.9,66.6,91,11,45,05,0,1,0,0,0,0,0,36,93,1.35,71,1903-06-02,5,3,1,0,0
1903,JUL,78.2,52.8,65.5,97,21,43,05,0,3,0,0,0,0,0,73,98,1.13,73,1903-07-05,8,3,1,0,0
1903,AUG,80.2,54.4,67.3,96,18,47,30,0,4,0,0,0,0,0,46,124,1.90,83,1903-08-26,7,5,2,0,0
1903,SEP,67.4,43.5,55.5,82,04,29,30,0,0,0,0,1,0,0,281,0,0.83,41,1903-09-12,8,3,0,0,0
1903,OCT,60.9,37.4,49.1,72,20,28,30,0,0,0,0,5,0,0,483,0,0.79,44,1903-10-04,5,2,0,0,0
1903,NOV,42.3,31.4,36.8,70,01,13,17,0,0,6,0,16,0,0,836,0,3.12,84,1903-11-06,10,7,2,0,0
1903,DEC,35.1,27.5,31.3,54,01,20,04,0,0,12,0,28,0,0,1038,0,2.01,47,1903-12-16,12,6,0,0,0
1903,ANNUAL,57.2,38.0,47.62,97,,4,,0,9,37,0,132,0,0,6581,334,16.55,,0.84,104,47,7,0,0

Year,Month,maxt,mint,avgt,HI,HI Dt,LO,LO Dt,max msg,maxt >=90,maxt <=32,min msg,mint >=75,mint <=32,mint <=0,HDD,CDD,Mly Prec,1d Max,1d Max Dt,Rain Days,>=0.1,>=0.5,>=1.0,PCPN msg
1904,JAN,37.0,28.3,32.6,49,17,17,20,0,0,9,0,26,0,0,993,0,1.31,40,1904-01-10,12,4,0,0,0
1904,FEB,38.4,27.4,32.9,44,22,7,09,0,0,2,0,24,0,0,925,0,2.83,40,1904-02-24,20,13,0,0,0
1904,MAR,41.9,29.6,35.8,58,07,16,26,0,0,2,0,20,0,0,900,0,2.81,59,1904-03-14,20,12,1,0,0
1904,APR,62.0,38.8,50.4,79,13,28,07,0,0,0,0,5,0,0,430,0,1.58,72,1904-04-15,8,3,1,0,0
1904,MAY,67.1,44.1,55.6,80,20,33,05,0,0,0,0,0,0,0,283,1,0.13,05,1904-05-10,5,0,0,0,0
1904,JUN,75.0,48.7,61.8,93,29,37,24,0,2,0,0,0,0,0,138,50,1.24,35,1904-06-01,7,4,0,0,0
1904,JUL,83.0,56.6,69.8,98,21,45,16,0,9,0,0,0,0,0,36,196,0.34,17,1904-07-01,5,1,0,0,0
1904,AUG,86.6,54.4,70.5,100,05,43,24,0,15,0,0,0,0,0,27,204,0.15,13,1904-08-28,2,1,0,0,0
1904,SEP,76.0,45.4,60.7,91,06,37,21,0,2,0,0,0,0,0,151,27,0.14,14,1904-09-22,1,1,0,0,0
1904,OCT,61.7,40.0,50.9,82,01,30,29,0,0,0,0,6,0,0,432,0,0.77,25,1904-10-08,9,3,0,0,0
