Monthly Climate Data Summaries ( por - por )

Station:,SAN FRANCISCO DOWNTOWN,State:,CA,ID:,23272
Latitude:,37.7705 degreeN,Longitude:,122.4269 degreeW,Elevation:,150.0 feet
Station period of record:,maxt: 06/01/1874-10/22/2019; mint: 01/01/1875-10/22/2019; avgt: 01/01/1875-10/22/2019; hdd: 01/01/1875-10/22/2019; cdd: 01/01/1875-10/22/2019; pcpn: 01/01/1875-10/22/2019

Year,Month,maxt,mint,avgt,HI,HI Dt,LO,LO Dt,max msg,maxt >=90,maxt <=32,min msg,mint >=75,mint <=32,mint <=0,HDD,CDD,Mly Prec,1d Max,1d Max Dt,Rain Days,>=0.1,>=0.5,>=1.0,PCPN msg
1901,ANNUAL,61.0,49.3,55.10,91,,37,,33,1,0,0,0,0,0,3258,55,19.75,,1.95,58,36,16,4,0

Year,Month,maxt,mint,avgt,HI,HI Dt,LO,LO Dt,max msg,maxt >=90,maxt <=32,min msg,mint >=75,mint <=32,mint <=0,HDD,CDD,Mly Prec,1d Max,1d Max Dt,Rain Days,>=0.1,>=0.5,>=1.0,PCPN msg
1902,JAN,51.7,41.7,46.7,58,03,38,30,0,0,0,0,0,0,0,558,0,1.23,35,1902-01-23,9,5,0,0,0
1902,FEB,57.4,48.5,52.9,65,15,40,03,0,0,0,0,0,0,0,329,0,7.27,08,1902-02-21,19,15,7,1,0
1902,MAR,57.6,45.6,51.6,68,29,41,24,0,0,0,0,0,0,0,410,0,2.65,69,1902-03-06,11,8,2,0,0
1902,APR,60.3,48.7,54.5,78,14,44,26,1,0,0,0,0,0,0,300,1,0.98,23,1902-04-24,10,4,0,0,0
1902,MAY,60.5,50.5,55.5,70,05,47,02,0,0,0,0,0,0,0,287,0,1.05,56,1902-05-13,6,3,1,0,0
1902,JUN,M,50.2,M,M,M,48,21,30,M,M,0,0,0,0,M,M,T,T,1902-06-27,0,0,0,0,0
1902,JUL,65.7,52.6,59.2,77,11,47,10,0,0,0,0,0,0,0,172,0,T,T,1902-07-27,0,0,0,0,0
1902,AUG,65.9,55.3,60.6,82,31,52,28,1,0,0,0,0,0,0,129,3,T,T,1902-08-14,0,0,0,0,0
1902,SEP,67.8,56.1,61.9,83,29,52,23,0,0,0,0,0,0,0,112,24,T,T,1902-09-18,0,0,0,0,0
1902,OCT,64.7,53.7,59.2,77,01,49,02,0,0,0,0,0,0,0,172,0,1.70,61,1902-10-23,6,5,1,0,0
