Monthly Climate Data Summaries ( por - por )

Station:,NY CITY CENTRAL PARK,State:,NY,ID:,94728
Latitude:,40.77898 degreeN,Longitude:,73.96925 degreeW,Elevation:,140.0 feet
Station period of record:,maxt: 01/01/1869-10/23/2019; mint: 01/01/1869-10/23/2019; avgt: 01/01/1869-10/23/2019; hdd: 01/01/1869-10/23/2019; cdd: 01/01/1869-10/23/2019; pcpn: 01/01/1869-10/23/2019

Year,Month,maxt,mint,avgt,HI,HI Dt,LO,LO Dt,max msg,maxt >=90,maxt <=32,min msg,mint >=75,mint <=32,mint <=0,HDD,CDD,Mly Prec,1d Max,1d Max Dt,Rain Days,>=0.1,>=0.5,>=1.0,PCPN msg
1902,SEP,72.4,60.5,66.5,87,01,50,15,0,0,0,0,0,0,0,40,92,4.31,25,1902-09-25,15,7,4,1,0
1902,OCT,63.9,51.9,57.9,74,13,39,30,0,0,0,0,0,0,0,224,11,7.16,95,1902-10-28,8,7,4,4,0
1902,NOV,57.3,45.6,51.5,69,15,34,29,0,0,0,0,0,0,0,397,0,1.28,51,1902-11-26,7,3,1,0,0
1902,DEC,37.9,26.8,32.4,55,22,8,09,0,0,8,0,22,0,0,1004,0,6.77,97,1902-12-16,15,10,5,2,0
1902,ANNUAL,59.5,46.7,53.09,90,,8,,0,1,31,0,81,1,0,4991,740,52.77,,3.06,126,83,38,14,0

Year,Month,maxt,mint,avgt,HI,HI Dt,LO,LO Dt,max msg,maxt >=90,maxt <=32,min msg,mint >=75,mint <=32,mint <=0,HDD,CDD,Mly Prec,1d Max,1d Max Dt,Rain Days,>=0.1,>=0.5,>=1.0,PCPN msg
1903,JAN,36.8,24.3,30.6,51,28,10,19,0,0,8,0,23,0,0,1060,0,4.18,30,1903-01-03,10,6,3,2,0
1903,FEB,39.1,27.9,33.5,62,28,4,19,0,0,7,0,19,0,0,875,0,4.70,00,1903-02-16,8,8,5,1,0
1903,MAR,55.2,41.2,48.2,70,14,28,02,0,0,0,0,4,0,0,514,0,4.23,94,1903-03-08,9,8,3,0,0
1903,APR,59.5,45.3,52.4,82,30,29,05,0,0,0,0,2,0,0,382,12,3.44,75,1903-04-14,9,7,4,0,0
1903,MAY,72.0,55.4,63.7,89,20,37,02,0,0,0,0,0,0,0,115,81,0.50,20,1903-05-06,5,2,0,0,0
1903,JUN,69.6,59.0,64.3,81,30,52,20,0,0,0,0,0,0,0,63,48,9.78,57,1903-06-29,18,13,5,3,0
1903,JUL,82.4,67.8,75.1,95,09,57,28,0,6,0,0,0,2,0,0,324,3.92,16,1903-07-22,10,7,4,1,0
1903,AUG,75.2,63.6,69.4,89,25,54,08,0,0,0,0,0,0,0,12,155,6.73,00,1903-08-04,15,9,4,3,0
1903,SEP,73.8,60.6,67.2,88,14,47,29,0,0,0,0,0,0,0,63,136,3.67,63,1903-09-16,6,4,3,1,0
1903,OCT,64.1,52.3,58.2,76,02,36,27,0,0,0,0,0,0,0,218,16,13.31,33,1903-10-09,10,7,3,2,0
1903,NOV,48.1,36.1,42.1,70,04,19,27,0,0,5,0,12,0,0,679,0,0.97,42,1903-11-05,6,4,0,0,0
1903,DEC,37.2,25.7,31.5,54,13,11,27,0,0,9,0,24,0,0,1031,0,3.09,34,1903-12-20,9,4,3,1,0
