Monthly Climate Data Summaries ( por - por )

Station:,SALEM AP (MCNARY FIELD),State:,OR,ID:,24232
Latitude:,44.905 degreeN,Longitude:,123.0011 degreeW,Elevation:,205.0 feet
Station period of record:,maxt: 01/01/1893-10/23/2019; mint: 01/01/1893-10/23/2019; avgt: 01/01/1893-10/23/2019; hdd: 01/01/1893-10/23/2019; cdd: 01/01/1893-10/23/2019; pcpn: 01/01/1893-10/23/2019

Year,Month,maxt,mint,avgt,HI,HI Dt,LO,LO Dt,max msg,maxt >=90,maxt <=32,min msg,mint >=75,mint <=32,mint <=0,HDD,CDD,Mly Prec,1d Max,1d Max Dt,Rain Days,>=0.1,>=0.5,>=1.0,PCPN msg
1904,APR,63.3,44.2,53.7,87,11,33,23,0,0,0,0,0,0,0,339,8,1.68,28,1904-04-28,14,8,0,0,0
1904,MAY,69.0,46.4,57.7,82,22,38,05,0,0,0,0,0,0,0,226,6,0.43,20,1904-05-31,4,2,0,0,0
1904,JUN,74.3,50.3,62.3,90,29,43,11,0,2,0,0,0,0,0,115,44,0.32,27,1904-06-02,3,1,0,0,0
1904,JUL,78.8,54.8,66.8,96,20,44,13,0,6,0,0,0,0,0,49,114,0.80,37,1904-07-15,4,3,0,0,0
1904,AUG,82.4,53.5,68.0,95,01,48,31,0,3,0,0,0,0,0,32,132,0.14,14,1904-08-28,1,1,0,0,0
1904,SEP,74.8,50.1,62.5,90,03,40,19,0,1,0,0,0,0,0,100,32,0.42,32,1904-09-22,3,1,0,0,0
1904,OCT,64.4,45.9,55.1,80,01,40,28,0,0,0,0,0,0,0,298,1,2.82,06,1904-10-11,9,7,2,1,0
1904,NOV,55.2,45.2,50.2,62,07,36,05,0,0,0,0,0,0,0,438,0,6.53,21,1904-11-20,21,16,4,1,0
1904,DEC,47.5,38.1,42.8,56,18,28,05,0,0,0,0,8,0,0,681,0,6.65,57,1904-12-29,19,16,4,1,0
1904,ANNUAL,62.7,45.0,53.87,96,,28,,0,12,0,0,23,0,0,4318,337,42.08,,1.58,147,108,22,5,0

Year,Month,maxt,mint,avgt,HI,HI Dt,LO,LO Dt,max msg,maxt >=90,maxt <=32,min msg,mint >=75,mint <=32,mint <=0,HDD,CDD,Mly Prec,1d Max,1d Max Dt,Rain Days,>=0.1,>=0.5,>=1.0,PCPN msg
1905,JAN,45.5,35.5,40.5,56,23,22,11,0,0,0,0,10,0,0,752,0,4.71,44,1905-01-23,17,12,2,1,0
1905,FEB,50.4,34.6,42.5,68,26,18,12,0,0,1,0,12,0,0,623,0,2.08,45,1905-02-20,12,6,0,0,0
1905,MAR,58.8,43.2,51.0,77,09,27,30,0,0,0,0,1,0,0,430,0,4.64,95,1905-03-21,18,12,4,0,0
1905,APR,64.8,44.0,54.4,80,23,35,26,0,0,0,0,0,0,0,310,0,0.86,42,1905-04-19,10,3,0,0,0
1905,MAY,64.0,47.3,55.6,82,26,38,18,0,0,0,0,0,0,0,284,2,1.57,48,1905-05-22,13,4,0,0,0
1905,JUN,70.2,51.3,60.8,80,20,45,14,0,0,0,0,0,0,0,122,1,0.59,17,1905-06-27,7,3,0,0,0
1905,JUL,82.7,55.0,68.8,100,08,50,14,0,6,0,0,0,0,0,12,141,0.05,05,1905-07-13,1,0,0,0,0
1905,AUG,78.4,53.5,66.0,93,07,44,26,0,2,0,0,0,0,0,41,81,0.03,02,1905-08-27,2,0,0,0,0
1905,SEP,72.0,52.5,62.2,89,01,45,29,0,0,0,0,0,0,0,105,29,2.86,08,1905-09-27,11,10,2,1,0
1905,OCT,59.2,41.9,50.6,68,10,30,31,0,0,0,0,3,0,0,441,0,4.26,33,1905-10-07,14,8,2,1,0
1905,NOV,50.8,35.4,43.1,65,08,29,22,0,0,0,0,6,0,0,648,0,2.26,90,1905-11-19,7,6,1,0,0
1905,DEC,44.7,36.2,40.5,55,17,27,12,0,0,1,0,9,0,0,753,0,4.58,88,1905-12-19,19,16,2,0,0
1905,ANNUAL,61.9,44.3,53.06,100,,18,,0,8,2,0,41,0,0,4521,254,28.49,,1.44,131,80,13,3,0

Year,Month,maxt,mint,avgt,HI,HI Dt,LO,LO Dt,max msg,maxt >=90,maxt <=32,min msg,mint >=75,mint <=32,mint <=0,HDD,CDD,Mly Prec,1d Max,1d Max Dt,Rain Days,>=0.1,>=0.5,>=1.0,PCPN msg
1906,JAN,48.1,39.0,43.5,56,23,30,01,0,0,0,0,3,0,0,659,0,5.42,72,1906-01-16,20,15,3,0,0
1906,FEB,51.7,37.3,44.5,61,17,28,12,0,0,0,0,9,0,0,568,0,5.78,24,1906-02-20,15,12,5,1,0
1906,MAR,53.0,37.1,45.1,67,29,24,17,0,0,0,0,7,0,0,609,0,1.94,39,1906-03-19,17,6,0,0,0
1906,APR,66.0,43.3,54.7,85,20,31,02,0,0,0,0,1,0,0,303,2,1.58,64,1906-04-27,9,6,1,0,0
1906,MAY,65.6,47.5,56.6,86,08,42,27,0,0,0,0,0,0,0,259,5,1.85,63,1906-05-14,14,6,1,0,0
