Monthly Climate Data Summaries ( por - por )

Station:,LEXINGTON BLUEGRASS AP,State:,KY,ID:,93820
Latitude:,38.0408 degreeN,Longitude:,84.6058 degreeW,Elevation:,980.0 feet
Station period of record:,maxt: 10/11/1872-10/22/2019; mint: 10/11/1872-10/22/2019; avgt: 10/11/1872-10/22/2019; hdd: 10/11/1872-10/22/2019; cdd: 10/11/1872-10/22/2019; pcpn: 10/11/1872-10/22/2019

Year,Month,maxt,mint,avgt,HI,HI Dt,LO,LO Dt,max msg,maxt >=90,maxt <=32,min msg,mint >=75,mint <=32,mint <=0,HDD,CDD,Mly Prec,1d Max,1d Max Dt,Rain Days,>=0.1,>=0.5,>=1.0,PCPN msg
1900,APR,64.7,45.2,55.0,79,29,26,10,0,0,0,0,5,0,0,297,3,1.23,35,1900-04-16,7,5,0,0,0
1900,MAY,76.1,55.1,65.6,91,16,36,04,0,1,0,0,0,0,0,89,115,3.54,74,1900-05-24,13,7,4,0,0
1900,JUN,80.9,64.1,72.5,89,29,53,04,0,0,0,0,0,0,0,1,233,2.19,85,1900-06-06,14,6,1,0,0
1900,JUL,86.8,67.2,77.0,93,15,58,09,0,9,0,0,0,1,0,0,382,2.80,52,1900-07-19,11,5,1,1,0
1900,AUG,89.3,69.3,79.3,96,11,62,03,0,15,0,0,0,2,0,0,450,5.75,18,1900-08-22,10,6,4,2,0
1900,SEP,83.1,63.4,73.2,97,10,46,17,0,8,0,0,0,0,0,18,274,1.85,70,1900-09-27,8,5,1,0,0
1900,OCT,74.9,54.9,64.9,87,05,38,17,0,0,0,0,0,0,0,94,96,0.79,54,1900-10-07,6,2,1,0,0
1900,NOV,54.0,35.7,44.8,74,22,20,16,0,0,0,0,14,0,0,597,0,6.38,63,1900-11-21,10,8,5,2,0
1900,DEC,44.4,30.0,37.2,59,18,18,10,0,0,2,0,19,0,0,855,0,1.86,46,1900-12-30,8,6,0,0,0
1900,ANNUAL,65.6,47.2,56.44,97,,-4,,0,33,18,0,94,3,3,4586,1553,33.67,,2.18,123,71,21,5,0

Year,Month,maxt,mint,avgt,HI,HI Dt,LO,LO Dt,max msg,maxt >=90,maxt <=32,min msg,mint >=75,mint <=32,mint <=0,HDD,CDD,Mly Prec,1d Max,1d Max Dt,Rain Days,>=0.1,>=0.5,>=1.0,PCPN msg
1901,JAN,42.2,26.4,34.3,63,09,11,31,0,0,7,0,23,0,0,945,0,1.49,68,1901-01-11,8,3,1,0,0
1901,FEB,37.1,21.7,29.4,61,17,9,24,0,0,9,0,25,0,0,989,0,0.62,25,1901-02-03,8,3,0,0,0
